[2026-08-30 14:11:06] : Clicked: App: CLIENT, Title: WindowDefenderV1
[2026-08-30 14:11:08] : Clicked: App: ADMIN, Title: ADMIN — Control Panel
[2026-08-30 14:11:11] : Clicked: App: ADMIN, Title: ADMIN — Control Panel
[2026-08-30 14:11:15] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:18] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:23] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:24] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:24] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:24] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:27] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:28] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:29] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:35] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:36] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:36] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:38] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:38] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:43] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:45] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:47] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:47] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:49] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:50] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:51] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:52] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:53] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:54] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:57] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:57] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:11:58] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:12:00] : Clicked: App: ADMIN, Title: Remote Desktop
[2026-08-30 14:12:07] : Clicked: App: ADMIN, Title: ADMIN — Control Panel
[2026-08-30 14:12:09] : Clicked: App: CLIENT, Title: WindowDefenderV1
[2026-08-30 14:12:10] : Clicked: App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:11] : Clicked: App: CLIENT, Title: WindowDefenderV1
[2026-08-30 14:12:21] : Clicked: App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:22] : Key: I, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:22] : Key: I, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:22] : Key: F, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:22] : Key: F, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:22] : Key: Spacebar, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:22] : Key: Spacebar, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:22] : Key: S, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:22] : Key: S, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:23] : Key: T, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:23] : Key: T, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:23] : Key: O, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:23] : Key: O, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:23] : Key: P, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:23] : Key: P, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:23] : Key: Spacebar, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:23] : Key: Spacebar, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:24] : Key: S, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:24] : Key: S, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:24] : Key: T, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:24] : Key: T, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:25] : Key: R, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:25] : Key: R, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:25] : Key: E, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:25] : Key: E, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:25] : Key: A, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:25] : Key: A, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
[2026-08-30 14:12:25] : Key: M, App: Code, Title: CLIENT.sln - test-deployment - Visual Studio Code
